ElementID,Name,Abstract Data Type,Data Type Semantics
175,postMCastOctetTotalCount,unsigned64,totalCounter
176,icmpTypeIPv4,unsigned8,identifier
177,icmpCodeIPv4,unsigned8,identifier
178,icmpTypeIPv6,unsigned8,identifier
179,icmpCodeIPv6,unsigned8,identifier
180,udpSourcePort,unsigned16,identifier
181,udpDestinationPort,unsigned16,identifier
182,tcpSourcePort,unsigned16,identifier
183,tcpDestinationPort,unsigned16,identifier
184,tcpSequenceNumber,unsigned32,
185,tcpAcknowledgementNumber,unsigned32,
186,tcpWindowSize,unsigned16,
187,tcpUrgentPointer,unsigned16,
188,tcpHeaderLength,unsigned8,
189,ipHeaderLength,unsigned8,
190,totalLengthIPv4,unsigned16,
191,payloadLengthIPv6,unsigned16,
192,ipTTL,unsigned8,
193,nextHeaderIPv6,unsigned8,
194,mplsPayloadLength,unsigned32,
195,ipDiffServCodePoint,unsigned8,identifier
196,ipPrecedence,unsigned8,identifier
197,fragmentFlags,unsigned8,flags
198,octetDeltaSumOfSquares,unsigned64,
199,octetTotalSumOfSquares,unsigned64,
200,mplsTopLabelTTL,unsigned8,
201,mplsLabelStackLength,unsigned32,
202,mplsLabelStackDepth,unsigned32,
203,mplsTopLabelExp,unsigned8,flags
204,ipPayloadLength,unsigned32,
205,udpMessageLength,unsigned16,
206,isMulticast,unsigned8,flags
207,ipv4IHL,unsigned8,
208,ipv4Options,unsigned32,flags
209,tcpOptions,unsigned64,flags
210,paddingOctets,octetArray,default
211,collectorIPv4Address,ipv4Address,default
212,collectorIPv6Address,ipv6Address,default
213,exportInterface,unsigned32,identifier
214,exportProtocolVersion,unsigned8,identifier
215,exportTransportProtocol,unsigned8,identifier
216,collectorTransportPort,unsigned16,identifier
217,exporterTransportPort,unsigned16,identifier
218,tcpSynTotalCount,unsigned64,totalCounter
219,tcpFinTotalCount,unsigned64,totalCounter
220,tcpRstTotalCount,unsigned64,totalCounter
221,tcpPshTotalCount,unsigned64,totalCounter
222,tcpAckTotalCount,unsigned64,totalCounter
223,tcpUrgTotalCount,unsigned64,totalCounter
224,ipTotalLength,unsigned64,
225,postNATSourceIPv4Address,ipv4Address,default
226,postNATDestinationIPv4Address,ipv4Address,default
227,postNAPTSourceTransportPort,unsigned16,identifier
228,postNAPTDestinationTransportPort,unsigned16,identifier
229,natOriginatingAddressRealm,unsigned8,identifier
230,natEvent,unsigned8,identifier
231,initiatorOctets,unsigned64,deltaCounter
232,responderOctets,unsigned64,deltaCounter
233,firewallEvent,unsigned8,
234,ingressVRFID,unsigned32,
235,egressVRFID,unsigned32,
236,VRFname,string,default
237,postMplsTopLabelExp,unsigned8,flags
238,tcpWindowScale,unsigned16,
239,biflowDirection,unsigned8,identifier
240,ethernetHeaderLength,unsigned8,quantity
241,ethernetPayloadLength,unsigned16,quantity
242,ethernetTotalLength,unsigned16,quantity
243,dot1qVlanId,unsigned16,identifier
244,dot1qPriority,unsigned8,identifier
245,dot1qCustomerVlanId,unsigned16,identifier
246,dot1qCustomerPriority,unsigned8,identifier
247,metroEvcId,string,default
248,metroEvcType,unsigned8,identifier
249,pseudoWireId,unsigned32,identifier
250,pseudoWireType,unsigned16,identifier
251,pseudoWireControlWord,unsigned32,identifier
252,ingressPhysicalInterface,unsigned32,identifier
253,egressPhysicalInterface,unsigned32,identifier
254,postDot1qVlanId,unsigned16,identifier
255,postDot1qCustomerVlanId,unsigned16,identifier
256,ethernetType,unsigned16,identifier
257,postIpPrecedence,unsigned8,identifier
258,collectionTimeMilliseconds,dateTimeMilliseconds,default
259,exportSctpStreamId,unsigned16,identifier
260,maxExportSeconds,dateTimeSeconds,default
261,maxFlowEndSeconds,dateTimeSeconds,default
262,messageMD5Checksum,octetArray,default
263,messageScope,unsigned8,
264,minExportSeconds,dateTimeSeconds,default
265,minFlowStartSeconds,dateTimeSeconds,default
266,opaqueOctets,octetArray,default
267,sessionScope,unsigned8,
268,maxFlowEndMicroseconds,dateTimeMicroseconds,default
269,maxFlowEndMilliseconds,dateTimeMilliseconds,default
270,maxFlowEndNanoseconds,dateTimeNanoseconds,default
271,minFlowStartMicroseconds,dateTimeMicroseconds,default
272,minFlowStartMilliseconds,dateTimeMilliseconds,default
273,minFlowStartNanoseconds,dateTimeNanoseconds,default
274,collectorCertificate,octetArray,default
275,exporterCertificate,octetArray,default
276,dataRecordsReliability,boolean,default
277,observationPointType,unsigned8,identifier
278,newConnectionDeltaCount,unsigned32,deltaCounter
279,connectionSumDurationSeconds,unsigned64,
280,connectionTransactionId,unsigned64,identifier
281,postNATSourceIPv6Address,ipv6Address,default
282,postNATDestinationIPv6Address,ipv6Address,default
283,natPoolId,unsigned32,identifier
284,natPoolName,string,default
285,anonymizationFlags,unsigned16,flags
286,anonymizationTechnique,unsigned16,identifier
287,informationElementIndex,unsigned16,identifier
288,p2pTechnology,string,default
